txhash,website,chain
0x7d6220913cc4a1307f98c4c4b351264d8d02eb2f0e39b5fbf85d0e90594cfdf3,https://app.blocksec.com/explorer/security-incidents,arbitrum
0x8464ee4eab7e10c9c07aee4637644708cd0ce43a7265f481eac2dfb0dbab942c,https://app.blocksec.com/explorer/security-incidents,arbitrum
0x864c8cfb8c54d3439613e6bd0d81a5ea2c5d0ad25c9af11afd190e5ea4dcfc1f,https://app.blocksec.com/explorer/security-incidents,arbitrum
0x864c8cfb8c54d3439613e6bd0d81a5ea2c5d0ad25c9af11afd190e5ea4dcfc1f,https://x.com/ImmuneBytes/status/1687427963157987328,arbitrum
0x979ad9b7f5331ea8034305a83b5cd50aea88adec395fff8298dd90eb1b87667f,https://app.blocksec.com/explorer/security-incidents,arbitrum
0x9a462209e573962f2654cac9bfe1277abe443cf5d1322ffd645925281fe65a2e,https://arbiscan.io/tx/0x9a462209e573962f2654cac9bfe1277abe443cf5d1322ffd645925281fe65a2e,arbitrum
0xa96584f8ab7c27daea33798bb8a66286c75a2ba57eee3b4192c771f4eb4ac609,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d,https://arbiscan.io/tx/0xa9ff2b587e2741575daf893864710a5cbb44bb64ccdc487a100fa20741e0f74d,arbitrum
0xadb209cc735cec128adc9dff43bc4666cf37037efd375970eaf23a2f9fda6e03,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,https://arbiscan.io/tx/0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,arbitrum
0xb1be5dee3852c818af742f5dd44def285b497ffc5c2eda0d893af542a09fb25a,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xb1be5dee3852c818af742f5dd44def285b497ffc5c2eda0d893af542a09fb25a,https://arbiscan.io/tx/0xb1be5dee3852c818af742f5dd44def285b497ffc5c2eda0d893af542a09fb25a,arbitrum
0xb678ceb8da285bd6367a3e01af245d93dd23ab8f00a15157955c033a2b3b92c3,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xbbc005af95fdb0decf477989059f70ebae8433955ac3ab1cf77a30ff30f0b615,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xbe163f651d23f0c9e4d4a443c0cc163134a31a1c2761b60188adcfd33178f50f,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xbe163f651d23f0c9e4d4a443c0cc163134a31a1c2761b60188adcfd33178f50f,https://x.com/ChainAegis/status/1790356602761200090,arbitrum
0xbe163f651d23f0c9e4d4a443c0cc163134a31a1c2761b60188adcfd33178f50f,https://arbiscan.io/tx/0xbe163f651d23f0c9e4d4a443c0cc163134a31a1c2761b60188adcfd33178f50f,arbitrum
0xc4350cf22cabfd88e4221d3496e84cd28841682d60ef89020622844e5879b99f,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xc523c6307b025ebd9aef155ba792d1ba18d5d83f97c7a846f267d3d9a3004e8c,https://arbiscan.io/tx/0xc523c6307b025ebd9aef155ba792d1ba18d5d83f97c7a846f267d3d9a3004e8c,arbitrum
0xc5c4bbddec70edb58efba60c1f27bce6515a45ffcab4236026a5eeb3e877fc6d,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xcb1a2f5eeb1a767ea5ccbc3665351fadc1af135d12a38c504f8f6eb997e9e603,https://phalcon.blocksec.com/explorer/tx/arbitrum/0xcb1a2f5eeb1a767ea5ccbc3665351fadc1af135d12a38c504f8f6eb997e9e603,arbitrum
0xcbb7ba9aca8467c561e7a1213556fc0da0a7d80d076c08856b590de9ff03f838,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xcea8599b8b82d5c17739fda9fe69a3e19a1613405929b3e191118681b702fc6a,https://app.blocksec.com/explorer/security-incidents,arbitrum
0xcfdc8147022e8133e74d3576d43ffb56543de30ecf2a4c8c154e51ab18551926,https://app.blocksec.com/explorer/security-incidents,arbitrum
